"","beta.ff","gamma.mm","gamma.mf","gamma.fm","theta","env.foi","hunt.f","hunt.m","fin.pop4.75","fin.prev4.75","fin.pop9.75","fin.prev9.75","fin.pop14.75","fin.prev14.75","fin.pop24.75","fin.prev24.75","R0","scenario","rate.var","rate.val","trans"
"63",0.045,2,1,2,1,0,0.05,0.12,2393.79751672135,0.0465302516628695,2653.99534101126,0.0642513003151455,2852.11967375785,0.0805760675927863,3043.14046166805,0.101951523377216,NA,"equal","am",0.12,"Freq. Dep."
"64",0.045,2,1,2,1,0,0.05,0.13,2398.88336610068,0.0440801641298637,2679.24994107388,0.05857507131851,2918.64345880893,0.0719881878217655,3240.28048520726,0.0909377198295744,NA,"equal","am",0.13,"Freq. Dep."
"65",0.045,2,1,2,1,0,0.05,0.14,2403.57053070782,0.0418688983024238,2701.87348784228,0.053593287055092,2978.07305692975,0.0644296084449738,3425.40662813452,0.0806476751308299,NA,"equal","am",0.14,"Freq. Dep."
"66",0.045,2,1,2,1,0,0.05,0.15,2407.90483870966,0.0398642980363949,2722.22664108664,0.0492043014459711,3031.26044781,0.0577843445886958,3597.63433588675,0.0711803135915694,NA,"equal","am",0.15,"Freq. Dep."
"67",0.045,2,1,2,1,0,0.05,0.16,2411.92544952592,0.0380395238091708,2740.61226982911,0.045322992263556,3078.96555196856,0.0519436622103276,3756.61802626679,0.0625873848939013,NA,"equal","am",0.16,"Freq. Dep."
"68",0.045,2,1,2,1,0,0.05,0.17,2415.66601697004,0.036372028263725,2757.28575527205,0.0418779440264254,3121.85955524136,0.0468081223733871,3902.45650797897,0.0548788967731786,NA,"equal","am",0.17,"Freq. Dep."
"69",0.045,2,1,2,1,0,0.05,0.18,2419.15561814975,0.0348427545541314,2772.46332717595,0.0388090996310104,3160.53121228801,0.0422883926462814,4035.58717790163,0.0480314236441925,NA,"equal","am",0.18,"Freq. Dep."
"70",0.045,2,1,2,1,0,0.05,0.19,2422.41950116683,0.033435503989412,2786.3288195814,0.0360658161270397,3195.49456534227,0.0383052510598138,4156.68381999541,0.0419973583521971,NA,"equal","am",0.19,"Freq. Dep."
"71",0.045,2,1,2,1,0,0.05,0.2,2425.47969141021,0.032136433433964,2799.03915847587,0.033605261685907,3227.19708003722,0.0347890980431959,4266.56724115645,0.0367136617025353,NA,"equal","am",0.2,"Freq. Dep."
"72",0.045,2,1,2,1,0,0.05,0.21,2428.35548658643,0.0309336529734541,2810.72883236157,0.0313910967125348,3256.02759573595,0.0316791984114208,4366.13297613213,0.032109257315795,NA,"equal","am",0.21,"Freq. Dep."
"73",0.045,2,1,2,1,0,0.05,0.22,2431.06386352823,0.0298169016594362,2821.51354616521,0.0293923895092249,3282.32375423062,0.0289228025608232,4456.29663112561,0.0281107359936774,NA,"equal","am",0.22,"Freq. Dep."
"74",0.045,2,1,2,1,0,0.05,0.23,2433.61981454212,0.0287772845030945,2831.49321818248,0.0275827244819267,3306.37874378201,0.0264742422466195,4537.95521086245,0.0246463946532925,NA,"equal","am",0.23,"Freq. Dep."
"75",0.045,2,1,2,1,0,0.05,0.24,2436.03662709506,0.0278070578516201,2840.75444719895,0.0259394678892777,3328.44730365822,0.0242940583715972,4611.96172596913,0.0216488368046231,NA,"equal","am",0.24,"Freq. Dep."
"76",0.045,2,1,2,1,0,0.05,0.25,2438.32611764373,0.0268994532370516,2849.37255107173,0.0244431622902508,3348.75099872889,0.0223481924533802,4679.11013449142,0.0190564399666,NA,"equal","am",0.25,"Freq. Dep."
"77",0.045,2,1,2,1,0,0.05,0.26,2440.4988281241,0.0260485320100267,2857.41325757778,0.0230770260856569,3367.48280936579,0.0206072565864483,4740.1278932577,0.0168139950455349,NA,"equal","am",0.26,"Freq. Dep."
"78",0.045,2,1,2,1,0,0.05,0.27,2442.56419186173,0.025249064754633,2864.93411213555,0.0218265389208598,3384.81109931474,0.0190458861362771,4795.67382970911,0.0148727816044273,NA,"equal","am",0.27,"Freq. Dep."
"79",0.045,2,1,2,1,0,0.05,0.28,2444.53067430281,0.0244964307652238,2871.98565418822,0.0206790973182811,3400.88303036386,0.0176421731004587,4846.33953279252,0.013190287399676,NA,"equal","am",0.28,"Freq. Dep."
"80",0.045,2,1,2,1,0,0.05,0.29,2446.40589290533,0.0237865338529647,2878.61240388467,0.0196237278492795,3415.82749216606,0.0163771745995017,4892.65291542,0.0117297257932754,NA,"equal","am",0.29,"Freq. Dep."
"81",0.045,2,1,2,1,0,0.05,0.3,2448.196719697,0.0231157315130756,2884.85369263693,0.0186508475437237,3429.75761145635,0.0152344893047167,4935.08298289361,0.0104594578414284,NA,"equal","am",0.3,"Freq. Dep."
"82",0.045,2,1,2,1,0,0.05,0.31,2449.90936934973,0.0224807750776013,2890.74436472489,0.0177520631691002,3442.77289900978,0.0141998940804343,4974.04514277924,0.0093523891963174,NA,"equal","am",0.31,"Freq. Dep."
"83",0.045,2,1,2,1,0,0.05,0.32,2451.54947509773,0.0218787589434091,2896.31537200878,0.0169200025732705,3454.96108615333,0.0132610332522517,5009.90661811777,0.00838538497533722,NA,"equal","am",0.32,"Freq. Dep."
"84",0.045,2,1,2,1,0,0.05,0.33,2453.12215440966,0.0213070773311591,2901.59427972216,0.0161481725464854,3466.3996961381,0.0124071534123759,5042.99168980721,0.00753872687098934,NA,"equal","am",0.33,"Freq. Dep."
"85",0.045,2,1,2,1,0,0.05,0.34,2454.63206599,0.0207633873207333,2906.6056980394,0.0154308386769283,3477.15738956365,0.0116288773477952,5073.58660886768,0.00679562415468698,NA,"equal","am",0.34,"Freq. Dep."
"86",0.045,2,1,2,1,0,0.05,0.35,2456.08345941456,0.0202455771392125,2911.37165147176,0.0147629234974158,3487.29511749922,0.0109180114104158,5101.94409728771,0.00614178218484864,NA,"equal","am",0.35,"Freq. Dep."
"87",0.045,2,1,2,1,0,0.05,0.36,2457.48021848537,0.0197517388619353,2915.91189601559,0.0141399198871784,3496.86711102864,0.0102673813725386,5128.28740732134,0.00556502718934696,NA,"equal","am",0.36,"Freq. Dep."
"88",0.045,2,1,2,1,0,0.05,0.37,2458.8258992119,0.0192801448354286,2920.24419224869,0.0135578172327759,3505.92173165677,0.00967069248849287,5152.81394132553,0.00505498340932124,NA,"equal","am",0.37,"Freq. Dep."
"89",0.045,2,1,2,1,0,0.05,0.38,2460.12376317857,0.0188292272506796,2924.38454116814,0.0130130382908369,3514.50220331451,0.0091224100961305,5175.69845339043,0.00460279740794482,NA,"equal","am",0.38,"Freq. Dep."
"90",0.045,2,1,2,1,0,0.05,0.39,2461.37680693874,0.0183975603923456,2928.34738841737,0.0125023850523915,3522.64724353224,0.00861765763411168,5197.09586440011,0.00420090393592843,NA,"equal","am",0.39,"Freq. Dep."
"91",0.045,2,1,2,1,0,0.05,0.4,2462.58778797561,0.0179838451685479,2932.14580161416,0.0120229921998242,3530.39160865597,0.00815212942314185,5217.1437268136,0.0038428278481821,NA,"equal","am",0.4,"Freq. Dep."
"92",0.045,2,1,2,1,0,0.05,0.41,2463.75924768821,0.0175868955906247,2935.79162472195,0.0115722869857038,3537.76656569581,0.0077220159661293,5235.96437648168,0.00352301694951707,NA,"equal","am",0.41,"Freq. Dep."
"93",0.045,2,1,2,1,0,0.05,0.42,2464.89353179238,0.0172056269253152,2939.2956127736,0.0111479545580191,3544.80030146419,0.00732393986988708,5253.6668076549,0.00323670116304983,NA,"equal","am",0.42,"Freq. Dep."
"94",0.045,2,1,2,1,0,0.05,0.43,2465.99280846889,0.0168390452856583,2942.66754973351,0.0107479079168639,3551.51827803138,0.00695490078637127,5270.34830494938,0.00297977397226262,NA,"equal","am",0.43,"Freq. Dep."
"95",0.045,2,1,2,1,0,0.05,0.44,2467.05908454361,0.0164862384631097,2945.91635185058,0.0103702618199083,3557.94354215121,0.00661222802145662,5286.09586304502,0.0027486926339875,NA,"equal","am",0.44,"Freq. Dep."
"96",0.045,2,1,2,1,0,0.05,0.45,2468.0942199436,0.0161463678334972,2949.05015849351,0.0100133100632555,3564.09699515137,0.00629353967013928,5300.98742169397,0.00254039416641235,NA,"equal","am",0.45,"Freq. Dep."
"97",0.045,2,1,2,1,0,0.05,0.46,2469.09994063963,0.0158186611944606,2952.07641216019,0.00967550565481288,3569.9976288069,0.00599670731468575,5315.09294045407,0.00235222457074464,NA,"equal","am",0.46,"Freq. Dep."
"98",0.045,2,1,2,1,0,0.05,0.47,2470.07785025633,0.0155024064130342,2955.00192910064,0.00935544347252065,3575.66273189183,0.00571982547170716,5328.4753345734,0.0021818791434559,NA,"equal","am",0.47,"Freq. Dep."
"99",0.045,2,1,2,1,0,0.05,0.48,2471.02944050724,0.0151969457795537,2957.83296178337,0.00905184506233011,3581.10807141023,0.00546118509968488,5341.19129071148,0.00202735207946013,NA,"equal","am",0.48,"Freq. Dep."
"100",0.045,2,1,2,1,0,0.05,0.49,2471.9561005907,0.0149016709789098,2960.57525425656,0.00876354528315271,3586.34805192074,0.00521925058413471,5353.29197871416,0.00188689385947166,NA,"equal","am",0.49,"Freq. Dep."
"101",0.0296175,4,2,1,1,0,0,0.05,2944.69934211017,0.0394228463983253,4098.68311234634,0.0433369472897475,5686.35086844287,0.0454010485183069,10897.3019108019,0.0468929290241354,NA,"male.dominated","af",0,"Freq. Dep."
"102",0.0296175,4,2,1,1,0,0.01,0.05,2820.06429952041,0.0431509169689048,3722.41682334705,0.0524932434684075,4846.29303144296,0.0588306835678984,8024.44508966333,0.0645102739570159,NA,"male.dominated","af",0.01,"Freq. Dep."
"103",0.0296175,4,2,1,1,0,0.02,0.05,2699.24510662595,0.0474565963468702,3369.37521442737,0.063890520822932,4090.03535369325,0.0757213403796889,5762.49748706897,0.0846086863447849,NA,"male.dominated","af",0.02,"Freq. Dep."
